title,url
周杰倫 Jay Chou【可愛女人 Cute Girl (feat.徐若瑄Vivian)】Official MV,https://www.youtube.com/watch?v=87VUC4J_0Ps&list=PLoXw5hFmURCQOx8SZRrLhZUj8s3FOUWgZ
周杰倫 Jay Chou【完美主義 Perfectionism】Official MV,https://www.youtube.com/watch?v=gxZHH8x2zPg&list=PLoXw5hFmURCQOx8SZRrLhZUj8s3FOUWgZ
周杰倫 Jay Chou【星晴 Starry Mood】Official MV,https://www.youtube.com/watch?v=sTNJsIcPSvE&list=PLoXw5hFmURCQOx8SZRrLhZUj8s3FOUWgZ
周杰倫 Jay Chou【娘子 Wife】Official MV,https://www.youtube.com/watch?v=MpP9dw_j2PI&list=PLoXw5hFmURCQOx8SZRrLhZUj8s3FOUWgZ
周杰倫 Jay Chou【鬥牛 Basketball Match】Official MV,https://www.youtube.com/watch?v=npiAxeLtHDM&list=PLoXw5hFmURCQOx8SZRrLhZUj8s3FOUWgZ
周杰倫 Jay Chou【黑色幽默 Dark Humor】Official MV,https://www.youtube.com/watch?v=wRT-5heURhY&list=PLoXw5hFmURCQOx8SZRrLhZUj8s3FOUWgZ
周杰倫 Jay Chou【伊斯坦堡 Istanbul】Official MV,https://www.youtube.com/watch?v=s9wvjSkR_Ms&list=PLoXw5hFmURCQOx8SZRrLhZUj8s3FOUWgZ
周杰倫 Jay Chou【印地安老斑鳩 Ancient Indian Turtledove】Official MV,https://www.youtube.com/watch?v=hnmWCmR6o7A&list=PLoXw5hFmURCQOx8SZRrLhZUj8s3FOUWgZ
周杰倫 Jay Chou【龍捲風 Tornado】Official MV,https://www.youtube.com/watch?v=RPWDeLqsN0g&list=PLoXw5hFmURCQOx8SZRrLhZUj8s3FOUWgZ
周杰倫 Jay Chou【反方向的鐘 Counter-clockwise Clock】Official MV,https://www.youtube.com/watch?v=fuM1aVCGR8c&list=PLoXw5hFmURCQOx8SZRrLhZUj8s3FOUWgZ
周杰倫 Jay Chou【愛在西元前 Love before AD】Official MV,https://www.youtube.com/watch?v=5XK2C9w6oVk&list=PLoXw5hFmURCQOx8SZRrLhZUj8s3FOUWgZ
周杰倫 Jay Chou【爸 我回來了 Dad, I'm home】Official MV",https://www.youtube.com/watch?v=nhyT8HDT4lg&list=PLoXw5hFmURCQOx8SZRrLhZUj8s3FOUWgZ
周杰倫 Jay Chou【簡單愛 Simple Love】Official MV,https://www.youtube.com/watch?v=Y4xCVlyCvX4&list=PLoXw5hFmURCQOx8SZRrLhZUj8s3FOUWgZ
周杰倫 Jay Chou【忍者 Ninja】Official MV,https://www.youtube.com/watch?v=55yJh4SHUBY&list=PLoXw5hFmURCQOx8SZRrLhZUj8s3FOUWgZ
周杰倫 Jay Chou【開不了口 I Find It Hard To Say】Official MV,https://www.youtube.com/watch?v=H7hpK6cm-6k&list=PLoXw5hFmURCQOx8SZRrLhZUj8s3FOUWgZ
周杰倫 Jay Chou【上海 一九四三 Shanghai 1943】Official MV,https://www.youtube.com/watch?v=CcfnZOJpbM4&list=PLoXw5hFmURCQOx8SZRrLhZUj8s3FOUWgZ
周杰倫 Jay Chou【對不起 Sorry】Official MV,https://www.youtube.com/watch?v=N2DkKFxijv0&list=PLoXw5hFmURCQOx8SZRrLhZUj8s3FOUWgZ
周杰倫 Jay Chou【威廉古堡 William Castle】Official MV,https://www.youtube.com/watch?v=lCzWCxVAkfc&list=PLoXw5hFmURCQOx8SZRrLhZUj8s3FOUWgZ
周杰倫 Jay Chou【雙截棍 Nunchucks】Official MV,https://www.youtube.com/watch?v=OR-0wptI_u0&list=PLoXw5hFmURCQOx8SZRrLhZUj8s3FOUWgZ
周杰倫 Jay Chou【安靜 Silence】Official MV,https://www.youtube.com/watch?v=1hI-7vj2FhE&list=PLoXw5hFmURCQOx8SZRrLhZUj8s3FOUWgZ
周杰倫 Jay Chou【蝸牛 Snail】Official MV,https://www.youtube.com/watch?v=H7pOrQEnc3c&list=PLoXw5hFmURCQOx8SZRrLhZUj8s3FOUWgZ
周杰倫 Jay Chou【你比從前快樂 You Are Happier Than Before】Official MV,https://www.youtube.com/watch?v=X_XqvQJi_6E&list=PLoXw5hFmURCQOx8SZRrLhZUj8s3FOUWgZ
周杰倫 Jay Chou【世界末日 End of the World】Official MV,https://www.youtube.com/watch?v=NDFULbHgL6E&list=PLoXw5hFmURCQOx8SZRrLhZUj8s3FOUWgZ
周杰倫 Jay Chou【半獸人 Half-beast Human】Official MV,https://www.youtube.com/watch?v=3I27c6t-0No&list=PLoXw5hFmURCQOx8SZRrLhZUj8s3FOUWgZ
周杰倫 Jay Chou【半島鐵盒 Peninsula Ironbox】Official MV,https://www.youtube.com/watch?v=duZDsG3tvoA&list=PLoXw5hFmURCQOx8SZRrLhZUj8s3FOUWgZ
周杰倫 Jay Chou【暗號 Secret Code】Official MV,https://www.youtube.com/watch?v=CYT9DPJdtS4&list=PLoXw5hFmURCQOx8SZRrLhZUj8s3FOUWgZ
周杰倫 Jay Chou【龍拳 Dragon Fist】Official MV,https://www.youtube.com/watch?v=_byK6M95hTc&list=PLoXw5hFmURCQOx8SZRrLhZUj8s3FOUWgZ
周杰倫 Jay Chou【火車叨位去 The Train's Destination】Official MV,https://www.youtube.com/watch?v=K5qKpFLWaoA&list=PLoXw5hFmURCQOx8SZRrLhZUj8s3FOUWgZ
周杰倫 Jay Chou【分裂 Split】Official MV,https://www.youtube.com/watch?v=eM6mF4RWhe0&list=PLoXw5hFmURCQOx8SZRrLhZUj8s3FOUWgZ
周杰倫 Jay Chou【爺爺泡的茶 Grandpa's Tea】Official MV,https://www.youtube.com/watch?v=LdPjnubLRN0&list=PLoXw5hFmURCQOx8SZRrLhZUj8s3FOUWgZ
周杰倫 Jay Chou【回到過去 Back to the Past】Official MV,https://www.youtube.com/watch?v=MKNrnSsIwf8&list=PLoXw5hFmURCQOx8SZRrLhZUj8s3FOUWgZ
周杰倫 Jay Chou【米蘭小鐵匠 Little Blacksmith in Milan】Official MV,https://www.youtube.com/watch?v=KmaqqnLGUG0&list=PLoXw5hFmURCQOx8SZRrLhZUj8s3FOUWgZ
周杰倫 Jay Chou【最後的戰役 The Final Battle】Official MV,https://www.youtube.com/watch?v=ZcShYmOhHM0&list=PLoXw5hFmURCQOx8SZRrLhZUj8s3FOUWgZ
周杰倫 Jay Chou【以父之名 In The Name of The Father】Official MV,https://www.youtube.com/watch?v=9q7JOQfcJQM&list=PLoXw5hFmURCQOx8SZRrLhZUj8s3FOUWgZ
周杰倫 Jay Chou【懦夫 Coward】Official MV,https://www.youtube.com/watch?v=Xi_RBDWZaT0&list=PLoXw5hFmURCQOx8SZRrLhZUj8s3FOUWgZ
周杰倫 Jay Chou【晴天 Sunny Day】Official MV,https://www.youtube.com/watch?v=DYptgVvkVLQ&list=PLoXw5hFmURCQOx8SZRrLhZUj8s3FOUWgZ
周杰倫 Jay Chou【三年二班 Class 3-2】Official MV,https://www.youtube.com/watch?v=_trE3M24kQY&list=PLoXw5hFmURCQOx8SZRrLhZUj8s3FOUWgZ
周杰倫 Jay Chou【東風破 Dong-Feng-Po】Official MV,https://www.youtube.com/watch?v=qct0JLjaHDc&list=PLoXw5hFmURCQOx8SZRrLhZUj8s3FOUWgZ
周杰倫 Jay Chou【妳聽得到 You Hear Me】Official MV,https://www.youtube.com/watch?v=kLY11fv7fUk&list=PLoXw5hFmURCQOx8SZRrLhZUj8s3FOUWgZ
周杰倫 Jay Chou【同一種調調 Same Tone】 Official MV,https://www.youtube.com/watch?v=D0x09XJgyO4&list=PLoXw5hFmURCQOx8SZRrLhZUj8s3FOUWgZ
周杰倫 Jay Chou【她的睫毛 Her Eyelashes】Official MV,https://www.youtube.com/watch?v=gqzlB7Gla2E&list=PLoXw5hFmURCQOx8SZRrLhZUj8s3FOUWgZ
周杰倫 Jay Chou【愛情懸崖 Cliff】Official MV,https://www.youtube.com/watch?v=H5VQdhYh9rc&list=PLoXw5hFmURCQOx8SZRrLhZUj8s3FOUWgZ
周杰倫 Jay Chou【梯田 Terrace Field】Official MV,https://www.youtube.com/watch?v=u9J99gB5psc&list=PLoXw5hFmURCQOx8SZRrLhZUj8s3FOUWgZ
周杰倫 Jay Chou 【雙刀 Double Blade】Official MV,https://www.youtube.com/watch?v=T4qPsRLjGCY&list=PLoXw5hFmURCQOx8SZRrLhZUj8s3FOUWgZ
周杰倫 Jay Chou【我的地盤 My Territory】Official MV,https://www.youtube.com/watch?v=RJerfq6MqY0&list=PLoXw5hFmURCQOx8SZRrLhZUj8s3FOUWgZ
周杰倫 Jay Chou【七里香 Orange Jasmine】Official MV,https://www.youtube.com/watch?v=Bbp9ZaJD_eA&list=PLoXw5hFmURCQOx8SZRrLhZUj8s3FOUWgZ
周杰倫 Jay Chou【藉口 Excuse】Official MV,https://www.youtube.com/watch?v=KcK8WurGpEQ&list=PLoXw5hFmURCQOx8SZRrLhZUj8s3FOUWgZ
周杰倫 Jay Chou【外婆 Grandma】Official MV,https://www.youtube.com/watch?v=Ur-x4pZT1Rk&list=PLoXw5hFmURCQOx8SZRrLhZUj8s3FOUWgZ
周杰倫 Jay Chou【將軍 General】Official MV,https://www.youtube.com/watch?v=PaJdceSx4JA&list=PLoXw5hFmURCQOx8SZRrLhZUj8s3FOUWgZ
周杰倫 Jay Chou【擱淺 Step Aside】Official MV,https://www.youtube.com/watch?v=YJfHuATJYsQ&list=PLoXw5hFmURCQOx8SZRrLhZUj8s3FOUWgZ
周杰倫 Jay Chou【亂舞春秋 Chaotic Dance】Official MV,https://www.youtube.com/watch?v=2Tg3uzSAkXk&list=PLoXw5hFmURCQOx8SZRrLhZUj8s3FOUWgZ
周杰倫 Jay Chou【困獸之鬥 Struggle】Official MV,https://www.youtube.com/watch?v=pm91leB_P8c&list=PLoXw5hFmURCQOx8SZRrLhZUj8s3FOUWgZ
周杰倫 Jay Chou【園遊會 Fun Fair】Official MV,https://www.youtube.com/watch?v=IoCoIxkGkVw&list=PLoXw5hFmURCQOx8SZRrLhZUj8s3FOUWgZ
周杰倫 Jay Chou【止戰之殤 Wounds of War】Official MV,https://www.youtube.com/watch?v=qIZ5MAwbeCg&list=PLoXw5hFmURCQOx8SZRrLhZUj8s3FOUWgZ
周杰倫 Jay Chou【夜曲 Nocturne】Official MV,https://www.youtube.com/watch?v=6Q0Pd53mojY&list=PLoXw5hFmURCQOx8SZRrLhZUj8s3FOUWgZ
周杰倫 Jay Chou【藍色風暴 Blue Storm】Official MV,https://www.youtube.com/watch?v=P7ItYKdY0WU&list=PLoXw5hFmURCQOx8SZRrLhZUj8s3FOUWgZ
周杰倫 Jay Chou【髮如雪 Hair White as Snow】Official MV,https://www.youtube.com/watch?v=aaM7qG2ycjk&list=PLoXw5hFmURCQOx8SZRrLhZUj8s3FOUWgZ
周杰倫 Jay Chou【黑色毛衣 Black Sweater】Official MV,https://www.youtube.com/watch?v=bX33UI9ZPLk&list=PLoXw5hFmURCQOx8SZRrLhZUj8s3FOUWgZ
周杰倫 Jay Chou【四面楚歌 Surrounded】Official MV,https://www.youtube.com/watch?v=JljURsMOLmc&list=PLoXw5hFmURCQOx8SZRrLhZUj8s3FOUWgZ
周杰倫 Jay Chou【楓 Maple Leaf 】Official MV,https://www.youtube.com/watch?v=qzwsQTY-99o&list=PLoXw5hFmURCQOx8SZRrLhZUj8s3FOUWgZ
周杰倫 Jay Chou【浪漫手機 Romantic Cellphone】Official MV,https://www.youtube.com/watch?v=Kbvu9Vt5_eE&list=PLoXw5hFmURCQOx8SZRrLhZUj8s3FOUWgZ
周杰倫 Jay Chou【逆鱗 Against】Official MV,https://www.youtube.com/watch?v=jD0c4QY7L8s&list=PLoXw5hFmURCQOx8SZRrLhZUj8s3FOUWgZ
周杰倫 Jay Chou【麥芽糖 Malt Candy】Official MV,https://www.youtube.com/watch?v=Hq47d-ouX_Y&list=PLoXw5hFmURCQOx8SZRrLhZUj8s3FOUWgZ
周杰倫 Jay Chou【珊瑚海 Coral Sea (feat. 梁心頤 Lara)】Official MV,https://www.youtube.com/watch?v=kYhh1PpsOg4&list=PLoXw5hFmURCQOx8SZRrLhZUj8s3FOUWgZ
周杰倫 Jay Chou【飄移 Drift】(頭文字Dの実写版)Official MV,https://www.youtube.com/watch?v=X2njc8is50o&list=PLoXw5hFmURCQOx8SZRrLhZUj8s3FOUWgZ
周杰倫 Jay Chou【一路向北 All the Way North】Official MV,https://www.youtube.com/watch?v=L229QDxDakU&list=PLoXw5hFmURCQOx8SZRrLhZUj8s3FOUWgZ
周杰倫 Jay Chou【夜的第七章 Chapter Seven】Official MV,https://www.youtube.com/watch?v=AdkkF6MT0R0&list=PLoXw5hFmURCQOx8SZRrLhZUj8s3FOUWgZ
周杰倫 Jay Chou【聽媽媽的話 Listen to Mom】Official MV,https://www.youtube.com/watch?v=_B8RaLCNUZw&list=PLoXw5hFmURCQOx8SZRrLhZUj8s3FOUWgZ
周杰倫 Jay Chou【千里之外 Far Away (feat.費玉清 Fei Yu-ching)】Official MV,https://www.youtube.com/watch?v=ocDo3ySyHSI&list=PLoXw5hFmURCQOx8SZRrLhZUj8s3FOUWgZ
周杰倫 Jay Chou【本草綱目Chinese Herbal Manual】Official MV,https://www.youtube.com/watch?v=8CD06hC1KGU&list=PLoXw5hFmURCQOx8SZRrLhZUj8s3FOUWgZ
周杰倫 Jay Chou【退後 A Step Back】Official MV,https://www.youtube.com/watch?v=0-4mm0e2h44&list=PLoXw5hFmURCQOx8SZRrLhZUj8s3FOUWgZ
